form	lemma	POS	morph
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
atque	atque1	CONcoo	MORPH=empty
ea	is	PROdem	Case=Abl|Numb=Sing|Gend=Fem
coniectura	coniectura	NOMcom	Case=Abl|Numb=Sing
auguro	augur	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
Ego	ego	PROper	Case=Nom|Numb=Sing
ut	ut4	CONsub	MORPH=empty
essem	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
adfinis	affinis1	NOMcom	Case=Nom|Numb=Sing
tibi	tu	PROper	Case=Dat|Numb=Sing
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
ut	ut4	CONsub	MORPH=empty
te	tu	PROper	Case=Acc|Numb=Sing
extinguerem	exstinguo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
tuam	tuus	PROpos	Case=Acc|Numb=Sing|Gend=Fem
petii	peto	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
gnatam	nata	NOMcom	Case=Acc|Numb=Sing
:	:	PUNC	MORPH=empty
numero	numerus	NOMcom	Case=Abl|Numb=Sing
te	tu	PROper	Case=Acc|Numb=Sing
expugnat	expugno	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
[	[	PUNC	MORPH=empty
timor	timor	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
horrida	horridus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
honestitudo	honestitudo	NOMcom	Case=Nom|Numb=Sing
Europæ	Europa	NOMpro	Case=Gen|Numb=Sing
principium	principium	NOMcom	Case=Nom|Numb=Sing
[	[	PUNC	MORPH=empty
primo	primo	ADV	Deg=Pos
ex	ex	PRE	MORPH=empty
loco	locus	NOMcom	Case=Abl|Numb=Sing
Vos	uos	PROper	Case=Nom|Numb=Plur
ite	eo1	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
actutum	actutum	ADV	Deg=Pos
atque	atque1	CONcoo	MORPH=empty
opere	opus1	NOMcom	Case=Abl|Numb=Sing
magno	magnus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
edicite	edico2	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
per	per	PRE	MORPH=empty
urbem	urbs	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
ut	ut1	CONsub	MORPH=empty
omnes	omnis	NOMcom	Case=Nom|Numb=Plur|Gend=MascFem|Deg=Pos
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
arcem	arx	NOMcom	Case=Acc|Numb=Sing
Alpheumque	Alpheus	ADJqua	Case=Acc|Numb=Sing
{Alpheumque}	que	CON	MORPH=empty
accolunt	accolo2	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
cives	ciuis	NOMcom	Case=Nom|Numb=Plur
ominibus	omen	NOMcom	Case=Abl|Numb=Plur
faustis	faustus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
augustam	augustus	NOMcom	Case=Acc|Numb=Sing
adhibeant	adhibeo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
faventiam	fauentia	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
ore	os1	NOMcom	Case=Abl|Numb=Sing
obscena	obscenus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
dicta	dictum	NOMcom	Case=Acc|Numb=Plur
segregent	segrego	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
!	!	PUNC	MORPH=empty
atque	atque1	CONcoo	MORPH=empty
hanc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Fem
postremo	posterius	ADV	Deg=Sup
solis	sol	PROind	Case=Gen|Numb=Sing
usuram	usura	NOMcom	Case=Acc|Numb=Sing
cape	capio2	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
!	!	PUNC	MORPH=empty
Saxum	saxum	NOMcom	Case=Acc|Numb=Sing
id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
facit	facio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
angustitatem	angustitas	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
sub	sub	PRE	MORPH=empty
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
[	[	PUNC	MORPH=empty
saxo	saxum	NOMcom	Case=Abl|Numb=Sing
exuberans	exubero	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
scatebra	scatebra	NOMcom	Case=Nom|Numb=Sing
fluviæ	fluuia	NOMcom	Case=Gen|Numb=Sing
radit	rado	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
rupem	rupes	NOMcom	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
Iterum	iterum	ADV	Deg=Pos
Thyestes	Thyestes	NOMpro	Case=Nom|Numb=Plur
Atreum	Atreus	NOMpro	Case=Acc|Numb=Sing
adtractatum	attractio	VER	Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
[	[	PUNC	MORPH=empty
advenit	aduenio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
iterum	iterum	ADV	Deg=Pos
iam	iam	ADV	Deg=Pos
adgreditur	aggredior	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
me	ego	PROper	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
quietum	quietus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
exsuscitat	exsuscito1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Maior	magnus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
mihi	ego	PROper	Case=Dat|Numb=Sing
moles	moles	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
maius	magnus	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Comp
miscendumst	misceo	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass
{miscendumst}	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
[	[	PUNC	MORPH=empty
malum	malum1	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com
acerbum	acerbus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
cor	cor	NOMcom	Case=Acc|Numb=Sing
contundam	contundo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
et	et2	CONcoo	MORPH=empty
comprimam	comprimo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.	.	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
non	non	ADVneg	MORPH=empty
sat	satis2	ADV	Case=Ind|Deg=Pos
habuit	habeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
coniugem	coniux	NOMcom	Case=Acc|Numb=Sing
inlexe	illicio	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
in	in	PRE	MORPH=empty
stuprum	stuprum	NOMcom	Case=Acc|Numb=Sing
—	—	PUNC	MORPH=empty
Atreus	Atreus	NOMpro	Case=Nom|Numb=Sing
—	—	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
quod	qui1	PROint	Case=Acc|Numb=Sing
re	res	NOMcom	Case=Abl|Numb=Sing
in	in	PRE	MORPH=empty
summa	summa	NOMcom	Case=Abl|Numb=Sing
summum	superus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Sup
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
arbitror	arbitror	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
periclum	periculum	NOMcom	Case=Acc|Numb=Sing
:	:	PUNC	MORPH=empty
matres	mater	NOMcom	Case=Voc|Numb=Plur
coinquinari	coinquino	VER	Mood=Inf|Tense=Pres|Voice=Dep
regias	regius	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
contaminari	contamino	VER	Mood=Inf|Tense=Pres|Voice=Pass
stirpem	stirps	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
admisceri	admisceo	VER	Mood=Inf|Tense=Pres|Voice=Pass
genus	genus1	NOMcom	Case=Acc|Numb=Sing
Addo	addo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
huc	huc	ADV	Deg=Pos
quod	quod2	CONsub	MORPH=empty
mihi	ego	PROper	Case=Dat|Numb=Sing
portento	portentum	NOMcom	Case=Abl|Numb=Sing
cælestum	caelestes	NOMcom	Case=Gen|Numb=Plur
[	[	PUNC	MORPH=empty
pater	pater	NOMcom	Case=Nom|Numb=Sing
prodigium	prodigium	NOMcom	Case=Acc|Numb=Sing
misit	mitto	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
regni	regnum	NOMcom	Case=Gen|Numb=Sing
stabilimen	stabilimen	NOMcom	Case=Acc|Numb=Sing
mei	meus	PROpos	Case=Gen|Numb=Sing|Gend=MascNeut
,	,	PUNC	MORPH=empty
agnum	agnus	NOMcom	Case=Acc|Numb=Sing
inter	inter	PRE	MORPH=empty
pecudes	pecus2	NOMcom	Case=Acc|Numb=Plur
aurea	aureus2	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
clarum	clarus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
coma	coma	NOMcom	Case=Abl|Numb=Sing
";"	";"	PUNC	MORPH=empty
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
clam	clam1	ADV	Deg=Pos
Thyestem	Thyestes	NOMpro	Case=Acc|Numb=Sing
clepere	clepo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ausum	audeo	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=SemDep
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
[	[	PUNC	MORPH=empty
e	ex	PRE	MORPH=empty
regia	regia	NOMcom	Case=Abl|Numb=Sing
!	!	PUNC	MORPH=empty
Qua	qui1	PROrel	Case=Abl|Numb=Sing|Gend=Fem
in	in	PRE	MORPH=empty
re	res	NOMcom	Case=Abl|Numb=Sing
adiutricem	adiutrix	NOMcom	Case=Acc|Numb=Sing
coniugem	coniux	NOMcom	Case=Acc|Numb=Sing
cepit	capio2	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sibi	sui1	PROref	Case=Dat|Numb=Sing
!	!	PUNC	MORPH=empty
Numquam	numquam	ADVneg	MORPH=empty
istam	iste	PROdem	Case=Acc|Numb=Sing|Gend=Fem
imminuam	imminuo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
curam	cura	NOMcom	Case=Acc|Numb=Sing
infitiando	infitior	VER	Case=Abl|Numb=Sing|Mood=Ger|Voice=Dep
tibi	tu	PROper	Case=Dat|Numb=Sing
!	!	PUNC	MORPH=empty
Probæ	probus	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
etsi	etsi2	CONsub	MORPH=empty
in	in	PRE	MORPH=empty
segetem	seges	NOMcom	Case=Acc|Numb=Sing
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
deteriorem	deterior	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
[	[	PUNC	MORPH=empty
datæ	do	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
fruges	frux	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
tamen	tamen	ADV	Deg=Pos
ipsæ	ipse	PROdem	Case=Nom|Numb=Plur|Gend=Fem
suapte	suus	PROpos.ref	Case=Nom|Numb=Plur|Gend=Fem
natura	natura	NOMcom	Case=Nom|Numb=Sing
enitent	eniteo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
vigilandum	uigilo	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
semper	semper	ADV	Deg=Pos
:	:	PUNC	MORPH=empty
multæ	multus	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
insidæ	insidiae	NOMcom	Case=Nom|Numb=Plur|Gend=Fem
[	[	PUNC	MORPH=empty
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
bonis	bonus	ADJqua	Case=Dat|Numb=Plur|Deg=Pos
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
ego	ego	PROper	Case=Nom|Numb=Sing
incipio	incipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
";"	";"	PUNC	MORPH=empty
conata	conor	VER	Case=Acc|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
exequar	exsequor	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=1
oderint	odi	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
dum	dum2	CONsub	MORPH=empty
metuant	metuo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Ne	ne4	CONsub	MORPH=empty
cum	cum2	PRE	MORPH=empty
tyranno	tyrannus	NOMcom	Case=Abl|Numb=Sing
quisquam	quisquam	PROind	Case=Nom|Numb=Sing|Gend=MascFem
epulandi	epulor	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
gratia	gratia	NOMcom	Case=Abl|Numb=Sing
accumbat	accumbo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
mensam	mensa	NOMcom	Case=Acc|Numb=Sing
aut	aut	CONcoo	MORPH=empty
eandem	idem	PROdem	Case=Acc|Numb=Sing|Gend=Fem
vescatur	uescor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
[	[	PUNC	MORPH=empty
dapem	daps	NOMcom	Case=Acc|Numb=Sing
epularum	epulae	NOMcom	Case=Gen|Numb=Plur
fictor	fictor	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
scelerum	scelus	NOMcom	Case=Gen|Numb=Plur
fratris	frater	NOMcom	Case=Gen|Numb=Sing
delitor	delitor	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
concoquit	concoquo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
partem	pars	NOMcom	Case=Acc|Numb=Sing
vapore	uapor	NOMcom	Case=Abl|Numb=Sing
flammæ	flamma	NOMcom	Case=Gen|Numb=Sing
";"	";"	PUNC	MORPH=empty
tribuit	tribuo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
†	†	PUNC	MORPH=empty
in	in	PRE	MORPH=empty
foco	focus	NOMcom	Case=Abl|Numb=Sing
†	†	PUNC	MORPH=empty
veribus	ueru	NOMcom	Case=Abl|Numb=Plur
lacerta	lacerta	NOMcom	Case=Nom|Numb=Plur
†	†	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
Sed	sed	CONcoo	MORPH=empty
quid	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut
?	?	PUNC	MORPH=empty
Tonitru	tonitrus	NOMcom	Case=Abl|Numb=Sing
turbida	turbidus	ADJqua	Case=Abl|Numb=Plur|Gend=Neut|Deg=Pos
torvo	toruus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
concussa	concutio	VER	Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
repente	repente	ADV	Deg=Pos
æquora	aequor	NOMcom	Case=Acc|Numb=Plur
cæli	caelum1	NOMcom	Case=Gen|Numb=Sing
sensimus	sentio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sonere	sono1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=2
!	!	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
natis	natus1	NOMcom	Case=Dat|Numb=Plur
sepulchro	sepulcrum	NOMcom	Case=Abl|Numb=Sing
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
es	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
parens	parens1	NOMcom	Case=Nom|Numb=Sing
Ipsus	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
hortatur	hortor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
me	ego	PROper	Case=Acc|Numb=Sing
frater	frater	NOMcom	Case=Voc|Numb=Sing
,	,	PUNC	MORPH=empty
ut	ut4	CONsub	MORPH=empty
meos	meus	PROpos	Case=Acc|Numb=Plur|Gend=Masc
malis	malum2	NOMcom	Case=Abl|Numb=Plur
[	[	PUNC	MORPH=empty
miser	miser	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
manderem	mando2	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
natos	natus1	NOMcom	Case=Acc|Numb=Plur
!	!	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
—	—	PUNC	MORPH=empty
Thyestes	Thyestes	NOMpro	Case=Nom|Numb=Plur
—	—	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
fregisti	frango	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
fidem	fides2	NOMcom	Case=Acc|Numb=Sing
!	!	PUNC	MORPH=empty
—	—	PUNC	MORPH=empty
Atreus	Atreus	NOMcom	Case=Nom|Numb=Sing
—	—	PUNC	MORPH=empty
Neque	neque	CONcoo	MORPH=empty
dedi	do	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
neque	neque	CONcoo	MORPH=empty
do	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
infideli	infidelis	ADJqua	Case=Dat|Numb=Sing|Gend=Com|Deg=Pos
cuiquam	quisquam	PROind	Case=Dat|Numb=Sing|Gend=Com
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
Id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
multi	multi	NOMcom	Case=Nom|Numb=Plur|Gend=Masc
invideant	inuideo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
multique	multi	NOMcom	Case=Nom|Numb=Plur
{multique}	que	CON	MORPH=empty
expetant	expeto	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
inscitiast	inscitia	NOMcom	Case=Acc|Numb=Sing
{inscitiast}	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
postulare	postulo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
nisi	nisi	CONsub	MORPH=empty
laborem	labor1	NOMcom	Case=Acc|Numb=Sing
summa	superus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Sup
cum	cum2	PRE	MORPH=empty
cura	cura	NOMcom	Case=Abl|Numb=Sing
ecferas	effero2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
.	.	PUNC	MORPH=empty
Ecquis	ecquis	PROint	Case=Nom|Numb=Sing|Gend=MascFem
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
animadvertet	animaduerto	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
?	?	PUNC	MORPH=empty
vincite	uinco	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
!	!	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
Egone	ego	PROper	Case=Nom|Numb=Sing
{Egone}	ne2	ADV	MORPH=empty
Argiuum	Argiuus	NOMpro	Case=Acc|Numb=Sing|Gend=MascNeut
impérium	imperium	NOMcom	Case=Acc|Numb=Sing
attingam	attingo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
?	?	PUNC	MORPH=empty
Aut	aut	CONcoo	MORPH=empty
Pelopia	Pelopeus	NOMpro	Case=Nom|Numb=Sing
digner	dignor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
domo	domus	NOMcom	Case=Abl|Numb=Sing
?	?	PUNC	MORPH=empty
Quo	quo3	ADVint	MORPH=empty
me	ego	PROper	Case=Acc|Numb=Sing
ostendam	ostendo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
?	?	PUNC	MORPH=empty
Quod	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut
templum	templum	NOMcom	Case=Acc|Numb=Sing
adeam	adeo1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
?	?	PUNC	MORPH=empty
Quem	quis1	PROint	Case=Acc|Numb=Sing|Gend=Masc
ore	os1	NOMcom	Case=Abl|Numb=Sing
funesto	funestus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
alloquar	alloquor	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=1
?	?	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
simul	simul1	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
Pisæa	Pisaeus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
præmia	praemium	NOMcom	Case=Acc|Numb=Plur
arrepta	arripio	VER	Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
a	ab	PRE	MORPH=empty
socru	socrus	NOMcom	Case=Abl|Numb=Sing
possedit	possideo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
suo	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
quantam	quantus2	PROint	Case=Acc|Numb=Sing|Gend=Fem
Tyndareo	Tyndareus	NOMpro	Case=Dat|Numb=Sing
gnata	nata	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
Menelai	Menelaeus	NOMpro	Case=Gen|Numb=Sing
domus	domus	NOMcom	Case=Gen|Numb=Sing
molem	moles	NOMcom	Case=Acc|Numb=Sing
excitarit	excito1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
belli	bellum	NOMcom	Case=Gen|Numb=Sing
pastorque	pastor	NOMcom	Case=Nom|Numb=Sing
{pastorque}	que	CON	MORPH=empty
Ilius	Ilius	NOMpro	Case=Nom|Numb=Sing|Gend=Masc
ære	aes	NOMcom	Case=Abl|Numb=Sing
atque	atque1	CONcoo	MORPH=empty
ferro	ferrum	NOMcom	Case=Abl|Numb=Sing
feruere	ferueo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
insignibus	insigne	NOMcom	Case=Abl|Numb=Plur
florere	floreo	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
neque	neque	CONcoo	MORPH=empty
cuiatis	cuias	NOMcom	Case=Gen|Numb=Sing
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
umquam	umquam	ADV	Deg=Pos
potuimus	possum1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
multa	multus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
erogitantes	erogito	VER	Case=Acc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
sciscere	scisco	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
