form	lemma	POS	morph
horrida	horridus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
initas	initio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
tu	tu	PROper	Case=Nom|Numb=Sing
pascere	pasco	VER	Mood=Inf|Tense=Pres|Voice=Act
cornifrontes	cornifeo	VER	Case=Acc|Numb=Plur|Gend=MascFem
soles	sol	VER	Numb=Plur|Person=2
armentas	armentum	NOMcom	Case=Acc|Numb=Plur
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
sol	sol	NOMcom	Case=Nom|Numb=Sing
si	si2	CONsub	MORPH=empty
perpetuo	perpetuo2	ADV	Deg=Pos
siet	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
flammeo	flammeus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
vapore	uapor	NOMcom	Case=Abl|Numb=Sing
torrens	torrens1	NOMcom	Case=Nom|Numb=Sing|Gend=Com
terræ	terra	NOMcom	Case=Gen|Numb=Sing
fetum	fetus1	NOMcom	Case=Acc|Numb=Sing
exusserit	exuro	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
;	;	PUNC	MORPH=empty
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
nisi	nisi	CONsub	MORPH=empty
interveniat	interuenio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sol	sol	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
pruina	pruina	NOMcom	Case=Nom|Numb=Plur
obriguerint	obrigesco	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
illuvie	illuuies	NOMcom	Case=Abl|Numb=Sing
corporis	corpus	NOMcom	Case=Gen|Numb=Sing
et	et2	CONcoo	MORPH=empty
coma	coma	NOMcom	Case=Nom|Numb=Sing
promissa	promitto	NOMcom	Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
impexa	impexus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
conglomerata	conglomero	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
atque	atque1	CONcoo	MORPH=empty
horrida	horridus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
perdita	perditus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
inluvie	illuuies	NOMcom	Case=Abl|Numb=Sing
atque	atque1	CONcoo	MORPH=empty
insomnia	insomnium	NOMcom	Case=Nom|Numb=Plur
qua	qui2	ADVrel	Gend=Fem
te	tu	PROper	Case=Acc|Numb=Sing
adplicasti	applico	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
tamen	tamen	ADV	Deg=Pos
ærumnis	aerumna	NOMcom	Case=Abl|Numb=Plur
obruta	obruo	VER	Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
?	?	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
cervicum	ceruix	NOMcom	Case=Gen|Numb=Plur
floros	florus	NOMcom	Case=Acc|Numb=Plur
dispendite	dispendo	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
crines	crinis	NOMcom	Case=Acc|Numb=Plur
Nonne	nonne	ADVint.neg	MORPH=empty
hinc	hinc	ADV	Deg=Pos
vos	uos	PROper	Case=Acc|Numb=Plur
propere	propere	ADV	Deg=Pos
a	ab	PRE	MORPH=empty
stabulis	stabulum	NOMcom	Case=Abl|Numb=Plur
amolimini	amolior	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
?	?	PUNC	MORPH=empty
exorto	exorior	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
jubare	iubaro	VER	Mood=Inf|Tense=Pres|Voice=Act
noctis	nox	NOMcom	Case=Gen|Numb=Sing
decurso	decurro	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
itinere	iter	NOMcom	Case=Abl|Numb=Sing
Sed	sed	CONcoo	MORPH=empty
cum	cum3	CONsub	MORPH=empty
animum	animus	NOMcom	Case=Acc|Numb=Sing
adtendi	attendo	VER	Mood=Inf|Tense=Pres|Voice=Pass|Person=1
ad	ad2	PRE	MORPH=empty
quærendum	quaero	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass
,	,	PUNC	MORPH=empty
quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut
siet	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Salvete	salueo	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
gemini	geminus	ADJqua	Case=Nom|Numb=Sing|Gend=MascNeut|Deg=Pos
,	,	PUNC	MORPH=empty
mea	meus	PROpos	Case=Nom|Numb=Plur|Gend=Fem
propages	propago2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
sanguinis	sanguis	NOMcom	Case=Gen|Numb=Sing
!	!	PUNC	MORPH=empty
Minitabiliterque	minitabiliter	ADV	Deg=Pos
{Minitabiliterque}	que	CON	MORPH=empty
increpare	increpo	VER	Mood=Inf|Tense=Pres|Voice=Act
dictis	dictum	NOMcom	Case=Dat|Numb=Plur
saevis	saeuus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
incipit	incipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
frendere	frendo	VER	Mood=Inf|Tense=Pres|Voice=Act
noctes	nox	NOMcom	Case=Acc|Numb=Plur
,	,	PUNC	MORPH=empty
misera	miser	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
quas	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Fem
perpessa	perpetior	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
fruges	frux	NOMcom	Case=Nom|Numb=Plur
frendendo	frendo	VER	Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
sola	solus	PROind	Case=Nom|Numb=Sing|Gend=Fem
saxi	saxum	NOMcom	Case=Gen|Numb=Sing
robore	robur	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
seque	sui	PROref	Case=Acc|Numb=Sing
{seque}	que	CON	MORPH=empty
ad	ad2	PRE	MORPH=empty
ludos	ludus	NOMcom	Case=Acc|Numb=Plur
iam	iam	ADV	Deg=Pos
inde	inde	ADV	Deg=Pos
abhinc	abhinc	ADV	Deg=Pos
exerceant	exerceo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
ego	ego	PROper	Case=Nom|Numb=Sing
inaudivi	inaudio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
accipite	accipio	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
facto	facio	VER	Case=Abl|Numb=Sing
opus	opus2	NOMcom	Case=Ind
decernite	decerno	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
sese	sui1	PROref	Case=Acc|Numb=Sing
†	†	PUNC	MORPH=empty
adfinem	affinis1	NOMcom	Case=Acc|Numb=Sing|Deg=Pos
†	†	PUNC	MORPH=empty
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
ad	ad2	PRE	MORPH=empty
causandum	causor	VER	Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
volunt	uolo3	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
de	de	PRE	MORPH=empty
virtute	uirtus	NOMcom	Case=Abl|Numb=Sing
is	is	PROdem	Case=Nom|Numb=Sing|Gend=Masc
ego	ego	PROper	Case=Nom|Numb=Sing
cernundi	cerno	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
do	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
potestatem	potestas	NOMcom	Case=Acc|Numb=Sing
omnibus	omnis	PROind	Case=Dat|Numb=Plur|Gend=Com
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
viget	uigeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
vescatur	uescor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
armis	arma	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
ut	ut4	CONsub	MORPH=empty
percipiat	percipio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
præmium	praemium	NOMcom	Case=Acc|Numb=Sing
an	an	ADVint	MORPH=empty
quis	quis2	PROind	Case=Nom|Numb=Sing|Gend=MascFem
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
te	tu	PROper	Case=Acc|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
dignum	dignus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
quicum	qui	PROrel	Case=Abl|Numb=Sing|Gend=Com
{quicum}	cum3	CON	MORPH=empty
certetur	certo1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
putet	puto	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
?	?	PUNC	MORPH=empty
tuque	tu	PROper	Case=Nom|Numb=Sing
{tuque}	que	CON	MORPH=empty
te	tu	PROper	Case=Acc|Numb=Sing
desider	desidero	VER	Numb=Sing
e	ex	PRE	MORPH=empty
residem	reses	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
†	†	PUNC	MORPH=empty
nos	nos	PROper	Case=Acc|Numb=Plur
hic	hic2	ADV	Gend=Masc|Deg=Pos
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
in	in	PRE	MORPH=empty
ma†	mai	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
dic	dico2	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
quid	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut
faciam	facio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
:	:	PUNC	MORPH=empty
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
me	ego	PROper	Case=Acc|Numb=Sing
moneris	moneo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
effectum	effectus1	NOMcom	Case=Acc|Numb=Sing
dabo	do	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.	.	PUNC	MORPH=empty
proloqui	proloquor	VER	Mood=Inf|Tense=Pres|Voice=Dep
nunc	nunc	ADV	Deg=Pos
pænitebunt	paeniteo	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
libere	libere	ADV	Deg=Pos
in	in	PRE	MORPH=empty
grato	gratus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
ex	ex	PRE	MORPH=empty
loco	locus	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
aecum	aequus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
et	et2	CONcoo	MORPH=empty
rectum	rectus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
postulas	postulo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
:	:	PUNC	MORPH=empty
jurati	iuratus	ADJqua	Case=Nom|Numb=Plur|Gend=Masc|Deg=Pos
cernant	cerno	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
!	!	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
si	si2	CONsub	MORPH=empty
non	non	ADVneg	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ingratum	ingratus	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
reapse	reapsus	ADV	Deg=Pos
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
feci	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
bene	bene	ADV	Deg=Pos
!	!	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
men	ego	PROper	Case=Acc
{men}	ne2	ADV	MORPH=empty
servasse	seruo	VER	Mood=Inf|Tense=Perf|Voice=Act
,	,	PUNC	MORPH=empty
ut	ut4	CONsub	MORPH=empty
essent	sum1	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
me	ego	PROper	Case=Acc|Numb=Sing
perderent	perdo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
?	?	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
feroci	ferox	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
ingenio	ingenium	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
torvus	toruus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
,	,	PUNC	MORPH=empty
prægrandi	praegrandis	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
gradu	gradus	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
cum	cum3	CONsub	MORPH=empty
recordor	recordor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
ferocem	ferox	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
et	et2	CONcoo	MORPH=empty
torvam	toruus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
confidentiam	confidentia	NOMcom	Case=Acc|Numb=Sing
nam	nam	CONcoo	MORPH=empty
canis	canis	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
quando	quando2	ADVint	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
percussa	percutio	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
lapide	lapis	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
tam	tam	ADV	Deg=Pos
illum	ille	PROdem	Case=Acc|Numb=Sing|Gend=Masc
adpetit	appeto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
sese	sui1	PROref	Case=Acc|Numb=Sing
icit	ico	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quam	quam1	ADVrel	MORPH=empty
illum	ille	PROdem	Case=Acc|Numb=Sing|Gend=Masc
eumpse	ispe	PROdem	Case=Nom|Numb=Sing|Gend=Masc
{eumpse}	ue	CON	MORPH=empty
lapidem	lapis	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem
icta	ico	VER	Case=Nom|Numb=Sing|Gend=Fem
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
petit	peto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Pro	pro1	PRE	MORPH=empty
imperio	imperium	NOMcom	Case=Abl|Numb=Sing
agendum	ago	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Quis	quis1	PROint	Case=Nom|Numb=Sing|Gend=MascFem
vetat	ueto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quisve	quis	PROrel	Case=Nom|Numb=Sing|Gend=Masc
{quisve}	ue	CON	MORPH=empty
attolat	attolo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nunc	nunc	ADV	Deg=Pos
primum	primum	ADJadv.ord	Deg=Sup
opacat	opaco	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
flore	flos	NOMcom	Case=Abl|Numb=Sing
lanugo	lanugo	NOMcom	Case=Abl|Numb=Sing
genas	gena	NOMcom	Case=Acc|Numb=Plur
parentum	parens1	NOMcom	Case=Gen|Numb=Plur
incertum	incertus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
investigandum	inuestigo	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
gratia	gratia	NOMcom	Case=Abl|Numb=Sing
dolet	doleo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pigetque	piget	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
{pigetque}	que	CON	MORPH=empty
magisque	magis	ADV	Deg=Comp
{magisque}	que	CON	MORPH=empty
me	ego	PROper	Case=Acc|Numb=Sing
conatum	conor	VER	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
nequiquam	nequiquam	ADV	Deg=Pos
itiner	iter	NOMcom	Case=Nom|Numb=Sing
etsi	etsi2	CONsub	MORPH=empty
metuo	metuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
picta	pingo	VER	Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
de	de	PRE	MORPH=empty
plaga	plaga1	NOMcom	Case=Abl|Numb=Sing
palam	palam1	ADV	Deg=Pos
gradere	gradior	VER	Mood=Inf|Tense=Pres|Voice=Act
atque	atque1	CONcoo	MORPH=empty
atrocem	atrox	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
coerce	coerceo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
confidentiam	confidentia	NOMcom	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
extremum	exter	NOMcom	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Sup
intra	intra2	PRE	MORPH=empty
camterem	camter	NOMcom	Case=Acc|Numb=Sing
ipsum	ipse	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
prægradat	praegrado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Parthenopaeum	Parthenopaeus	NOMpro	Case=Acc|Numb=Sing
hic	hic1	PROdem	Case=Nom|Numb=Sing|Deg=Pos
sollicita	sollicitus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
studio	studium	NOMcom	Case=Abl|Numb=Sing
obstupida	obstupidus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
,	,	PUNC	MORPH=empty
suspenso	suspendo	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
animo	animus	NOMcom	Case=Abl|Numb=Sing
civitas	ciuitas	NOMcom	Case=Nom|Numb=Sing
!	!	PUNC	MORPH=empty
Quæ	quis1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
ægritudo	aegritudo	NOMcom	Case=Nom|Numb=Sing
insolens	insolens	ADJqua	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
mentem	mens	NOMcom	Case=Acc|Numb=Sing
adtemptat	attento	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tuam	tuus	PROpos	Case=Acc|Numb=Sing|Gend=Fem
?	?	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
dubito	dubito	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
quam	quis1	ADVint	Case=Acc|Numb=Sing
insistam	insisto	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
viam	uia	NOMcom	Case=Acc|Numb=Sing
aut	aut	CONcoo	MORPH=empty
quod	quis1	PROrel	Numb=Sing|Gend=Neut
primordium	primordium	NOMcom	Case=Acc|Numb=Sing
capissam	capio2	VER	Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
ad	ad2	PRE	MORPH=empty
stirpem	stirps	NOMcom	Case=Acc|Numb=Sing
exquirendum	exquiro	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
habeo	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ego	ego	PROper	Case=Nom|Numb=Sing
istam	iste	PROdem	Case=Acc|Numb=Sing|Gend=Fem
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
distinguam	distinguo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
inter	inter	PRE	MORPH=empty
vos	uos	PROper	Case=Acc|Numb=Plur
geminitudinem	geminitudo	NOMcom	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
is	is	PROdem	Case=Nom|Numb=Sing|Gend=Masc
vestrorum	uester	PROpos	Case=Gen|Numb=Plur|Gend=MascNeut
uter	uter3	PROint	Case=Nom|Numb=Sing|Gend=Masc
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
cui	qui1	PROrel	Case=Dat|Numb=Sing|Gend=Com
signum	signum	NOMcom	Case=Nom|Numb=Sing
datum	do	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;	;	PUNC	MORPH=empty
cette	cetro	ADV	MORPH=empty
